series_id,segment,rfm_score
DRCCLACBS,Champions,12.0
DRCCLACBN,Champions,12.0
TERMCBCCALLNS,Champions,13.0
CCLACBW027SBOG,Champions,14.0
CCLACBM027SBOG,Champions,13.0
H8B1247NCBCMG,Champions,13.0
CCLACBW027NBOG,Champions,14.0
CCLACBM027NBOG,Champions,13.0
CCLACBQ158SBOG,Champions,12.0
H8B1247NCBCAG,Champions,9.0
DCOILWTICO,Champions,15.0
MCOILWTICO,Champions,13.0
WCOILWTICO,Champions,14.0
ACOILWTICO,Champions,11.0
DCOILBRENTEU,Champions,15.0
MCOILBRENTEU,Champions,13.0
WCOILBRENTEU,Champions,14.0
ACOILBRENTEU,Champions,11.0
POILBREUSDM,Champions,13.0
WTISPLC,Champions,13.0
WTREGEN,Champions,14.0
WRESBAL,Champions,14.0
WRBWFRBL,Champions,14.0
WDTGAL,Champions,14.0
FDHBFRBN,Champions,12.0
M14062USM027NNBR,Champions,13.0
T10Y2Y,Champions,15.0
T10Y2YM,Champions,13.0
RESBALNS,Champions,13.0
RESBALNSW,Champions,14.0
T10Y3M,Champions,15.0
FRVGBSV,Champions,13.0
T10Y3MM,Champions,13.0
GFDEGDQ188S,Champions,12.0
FEDFUNDS,Champions,13.0
DFF,Champions,15.0
T10YIE,Champions,15.0
FF,Champions,14.0
WPC,Champions,14.0
RIFSPFFNB,Champions,15.0
RIFSPFFNA,Champions,11.0
WOFSRBRBC,Champions,14.0
WCBLSA,Champions,14.0
T10YIEM,Champions,13.0
RIFSPFFNBWAW,Champions,13.0
WREPO,Champions,14.0
T5YIE,Champions,15.0
FYFSGDA188S,Champions,11.0
M2V,Champions,12.0
T5YIFR,Champions,15.0
T5YIEM,Champions,13.0
HBFRGDQ188S,Champions,12.0
FYFSDFYGDP,Champions,11.0
RRPONTSYD,Champions,15.0
IRNFAFARUSD,Champions,11.0
T5YIFRM,Champions,13.0
BAA10Y,Champions,15.0
STLFSI4,Champions,14.0
M2REAL,Champions,13.0
BAA10YM,Champions,13.0
WLFN,Champions,14.0
USREC,Champions,13.0
USRECD,Champions,15.0
FEDTARMD,Champions,11.0
USRECQ,Champions,12.0
STLENI,Champions,12.0
WTISPLC,Champions,13.0
T10YFF,Champions,15.0
REAINTRATREARAT10Y,Champions,13.0
M1V,Champions,12.0
GFDGDPA188S,Champions,11.0
T10YFFM,Champions,13.0
FYONGDA188S,Champions,11.0
AAA10Y,Champions,15.0
FYFRGDA188S,Champions,11.0
FYOIGDA188S,Champions,11.0
TEDRATE,Champions,15.0
DFEDTAR,Champions,15.0
AAA10YM,Champions,13.0
RRSFS,Champions,13.0
SOFR,Champions,15.0
EXPINF10YR,Champions,13.0
GDPC1CTM,Champions,11.0
FYGFGDQ188S,Champions,12.0
NPTLTL,Champions,12.0
M1REAL,Champions,13.0
EXPINF1YR,Champions,13.0
CORESTICKM159SFRBATL,Champions,13.0
T30YIEM,Champions,13.0
NFCI,Champions,14.0
CORESTICKM158SFRBATL,Champions,13.0
RPONTSYD,Champions,15.0
CORESTICKM679SFRBATL,Champions,13.0
CORESTICKM157SFRBATL,Champions,13.0
EFFR,Champions,15.0
RRPONTSYAWARD,Champions,15.0
EXPINF30YR,Champions,13.0
STLFSI,Champions,14.0
REAINTRATREARAT1YE,Champions,13.0
FEDTARMDLR,Champions,13.0
USRECDM,Champions,15.0
GDPNOW,Champions,12.0
EXCSRESNS,Champions,13.0
USRECM,Champions,13.0
MEDCPIM158SFRBCLE,Champions,13.0
STLFSI2,Champions,14.0
STLFSI3,Champions,14.0
EXCSRESNW,Champions,14.0
USRECQM,Champions,12.0
HBFIGDQ188S,Champions,12.0
SOFR30DAYAVG,Champions,15.0
EXPINF5YR,Champions,13.0
AMBSL,Champions,13.0
CMRMTSPL,Champions,13.0
MEDCPIM159SFRBCLE,Champions,13.0
M2MSL,Champions,13.0
MEDCPIM094SFRBCLE,Champions,13.0
USRECDP,Champions,15.0
MEDCPIM157SFRBCLE,Champions,13.0
M2MNS,Champions,13.0
USRECP,Champions,13.0
EXPINF2YR,Champions,13.0
BASE,Champions,13.0
AMBNS,Champions,13.0
T20YIEM,Champions,13.0
BAAFF,Champions,15.0
DISAMBNS,Champions,11.0
DISAMBSL,Champions,11.0
CQRMTSPL,Loyal,8.0
BASENS,Loyal,9.0
DISBASE,Lost,5.0
DSBASENS,Lost,5.0
SP500,Champions,15.0
USRECQP,Champions,10.0
TB3SMFFM,Champions,13.0
T5YFF,Champions,15.0
USNIM,Champions,12.0
BAAFFM,Champions,13.0
FEDTARRL,Champions,11.0
T1YFF,Champions,15.0
FYPUGDA188S,Champions,11.0
T5YFFM,Champions,13.0
GDPC1CTMLR,Champions,13.0
WALCL,Champions,14.0
MZM,Champions,14.0
T1YFFM,Champions,13.0
GDPC1MD,Champions,11.0
PCECTPICTM,Champions,11.0
MZMNS,Champions,13.0
MZMSL,Champions,13.0
CPFF,Champions,15.0
RRPONTTLD,Champions,15.0
WMZMNS,Loyal,10.0
CAPCPI,Champions,11.0
SOFR90DAYAVG,Champions,15.0
CPFFM,Champions,13.0
EURORECD,Champions,15.0
T7YIEM,Champions,13.0
UNRATEMD,Champions,11.0
EUROREC,Champions,13.0
OBFR,Champions,15.0
UMCSENT,Champions,13.0
AAAFF,Champions,15.0
MULT,Champions,13.0
CCLACBW027SBOG,Champions,14.0
SWPT,Champions,14.0
RPONTTLD,Champions,15.0
TENEXPCHAREARISPRE,Champions,13.0
EXPINF20YR,Champions,13.0
DRCCLACBS,Champions,12.0
AAAFFM,Champions,13.0
SOFRINDEX,Champions,15.0
FEDTARRM,Champions,11.0
T3MFF,Champions,15.0
EXGEUS,Champions,13.0
DISMULT,Champions,11.0
FEDTARCTM,Champions,11.0
CCLACBM027SBOG,Champions,13.0
H8B1247NCBCMG,Champions,13.0
REAINTRATREARAT1MO,Champions,13.0
CCLACBW027NBOG,Champions,14.0
DRCCLACBN,Champions,12.0
T3MFFM,Champions,11.0
USSLIND,Champions,13.0
ANFCI,Champions,14.0
CCLACBM027NBOG,Champions,13.0
DPSACBW027SBOG,Champions,14.0
CCLACBQ158SBOG,Champions,12.0
IORB,Champions,15.0
SMS06000000000000026,Champions,11.0
H8B1247NCBCAG,Champions,9.0
SMU06000000000000001A,Champions,9.0
CEFDFSA066MSFRBPHI,Champions,13.0
DPSACBM027NBOG,Champions,13.0
NYPCPI,Champions,11.0
DPSACBM027SBOG,Champions,13.0
DPSACBW027NBOG,Champions,14.0
BUSLOANS,Champions,13.0
H8B1058NCBCMG,Champions,13.0
DRSFRMACBS,Champions,12.0
TOTCI,Champions,14.0
CEFDFNA066MNFRBPHI,Champions,11.0
DPSACBQ158SBOG,Champions,12.0
WEI,Champions,14.0
ALPCPI,Champions,11.0
TOTLL,Champions,14.0
H8B1058NCBCAG,Champions,9.0
DRTSCILM,Champions,12.0
CANRECDM,Champions,15.0
CILACBQ158SBOG,Champions,12.0
STLPPM,Champions,13.0
LOANS,Champions,13.0
TOTBKCR,Champions,14.0
H8B1023NCBCMG,Champions,13.0
EXPINF3YR,Champions,13.0
TOTCINSA,Champions,14.0
DRSFRMACBN,Champions,12.0
RCCCBBALTOT,Champions,12.0
CANRECM,Champions,11.0
BUSLOANSNSA,Champions,13.0
FEDTARRH,Champions,11.0
TXPCPI,Champions,11.0
H8B1023NCBCAG,Champions,9.0
TOTLLNSA,Champions,14.0
H8B1020NCBCMG,Champions,13.0
DRCLACBS,Champions,12.0
MICH,Champions,13.0
LOANSNSA,Champions,13.0
LLBACBQ158SBOG,Champions,12.0
SOFRVOL,Champions,15.0
BC0ACBQ158SBOG,Champions,12.0
STICKCPIM157SFRBATL,Champions,13.0
TOTBKCRNSA,Champions,14.0
H8B1001NCBCMG,Champions,13.0
LOANINV,Champions,13.0
H8B1020NCBCAG,Champions,9.0
TREAST,Champions,14.0
DPRIME,Champions,15.0
USPHCI,Champions,13.0
SOFR180DAYAVG,Champions,15.0
LOANINVNSA,Champions,13.0
H8B1001NCBCAG,Champions,11.0
STICKCPIM159SFRBATL,Champions,13.0
MPRIME,Champions,13.0
STICKCPIM158SFRBATL,Champions,13.0
STICKCPIM679SFRBATL,Champions,13.0
DRCLACBN,Champions,12.0
WSHOMCB,Champions,14.0
WPRIME,Champions,14.0
FRBATLWGT3MMAUMHWGO,Champions,13.0
CFNAI,Champions,13.0
RIFSPBLPNA,Champions,11.0
TLAACBW027SBOG,Champions,14.0
RIFSPBLPND,Champions,15.0
CURRCIR,Champions,13.0
GACDFSA066MSFRBPHI,Champions,13.0
TLAACBM027SBOG,Champions,13.0
DRALACBN,Champions,12.0
DRALACBS,Champions,12.0
TLAACBM027NBOG,Champions,13.0
TENEXPCHAINFRISPRE,Champions,13.0
H8B1151NCBCMG,Champions,13.0
PRIME,Champions,13.0
TLAACBW027NBOG,Champions,14.0
GACDFNA066MNFRBPHI,Champions,11.0
RCMFLBBALDPDPCT30P,Champions,12.0
TLAACBQ158SBOG,Champions,10.0
CRESTKCPIXSLTRM159SFRBATL,Champions,13.0
H8B1151NCBCAG,Champions,9.0
CREACBM027NBOG,Champions,13.0
DRCRELEXFACBS,Champions,12.0
RCMFLOORIG,Champions,12.0
CREACBW027SBOG,Champions,14.0
DPCREDIT,Champions,15.0
CRESTKCPIXSLTRM679SFRBATL,Champions,13.0
RRPTSYD,Champions,15.0
TERMCBCCALLNS,Champions,13.0
CRESTKCPIXSLTRM157SFRBATL,Champions,13.0
CRESTKCPIXSLTRM158SFRBATL,Champions,11.0
NFCILEVERAGE,Champions,14.0
H8B3219NCBCMG,Champions,13.0
CREACBQ158SBOG,Champions,12.0
